text, labeling
이제 월간이라는 이름에 걸맞는 영상들이 올라오네유!, 2
캄보디아.. 와.. 뭔가 낭만 있는 장소에 낭만 가득한 사람들의 이야기 좋아요, 1
제가 몰랐던 세계를 잠깐 본 것 같아서 너무 좋아요! 뭔가 응원하고 싶으면서도 배우는게 많은 순간들이었어요, 1
두 발로 걸어가는 친구들의 꿈을 응원합니다!, 1
캄보디아도 좋고 거기서 멋진 일을 하는 친구분들도 너무 좋고! 완벽하네요, 1
"머리가 아니라 몸, 마음으로 느끼면서 나아가는 친구들의 이야기!", 2
잔잔하게 마음이 평화로워지면서 저의 처음을 돌아보게 만드네요. 이런 작품 고맙습니다., 1
동화 속에 들어갔다 온 느낌입니다, 2
캄보디아 해외봉사 4개월의 시간을 아름다운 영상으로 담아주셔서 감사합니다 너무 선물같은 영상이네요, 0
응원합니다! 뭔가 위대한 인물들의 풋풋한 시절을 본 것 같아요, 1
오랜만의 작품 너무 잘봤습니다! 캄보디아보다 저 친구들의 꿈이 더 반짝이네요 ^^, 1
넘 감동적이야, 1
와 진짜 멋진 사람들.. 리스펙!, 1
멋진 친구들의 이야기 너무 잘 봤습니다! 응원해요! 파이팅!, 1
이런 멋진 청춘 다큐에 헛다리 훅훅훅, 1
멋진 친구들의 멋진 꿈을 잠깐 옅보고 갑니다! 3친구 모두 응원해요, 1
뭔가 편안해지는 힐링 다큐! 캄보디아 덕분에 잘 갔다왔습니다, 0
캄보디아도 아름다운 곳이 많네요~ 멋진 작품 감사합니다!, 1
캄보디아에서의 추억들이 새록새록.. 멋진 다큐 제작해주셔서 감사합니다 감독님!, 1
무슨 음악인가요?, 2
우리나라도 난리에요. 지방이나. 낙도는 개판입니다 거기부터 가세요., 3
"강도가 칼을 들면 사람을 죽이는 칼이 되고, 의사가 칼을 들면 사람을 살리는 칼이 된다? 옛말이지.. 요즘 의사들은 사람 목숨으로 협박질하는건 강도들과 똑같지. 단지 차이라면, 강도는 칼을 들고 협박하고, 의사는 칼을 놓고 협박한다.", 3
정말 이렇게 좋은 단체가 있고 이런 분들로 인해 사회가 더더욱 따듯해진다는걸 많이 느낍니다. 밤낮없이 세계에 위험한 사람들을 위해 봉사하시는 희생정신이 정말 대단하시단 생각이 듭니다. 정말 감사합니다., 1
"인종, 성별, 종교, 정치성향 등에 상관없이 도움이 필요한 사람을 돕는다는 점이 존경스럽습니다. 세계의 사람들을 위해서 노력하는 모습을 응원하겠습니다.", 1
이제는 한국도.., 2
후원하려면 어찌해야하나요, 0
요즘은 여기도 그닥.., 3
저는 계좌로 바로 보내기 했어면 합니다 복잡한 페이 사용 할줄 몰라요 계좌번호 올려주심 보내겠습니다, 0
"천만 기독교인들에게 구약의 율법은 복음시대(신약) 왕의 복음으로 성취되어 폐지하셨습니다. 특히 헌금, 십일조헌금, 안식일(주일성수), 성직자임명, 등, 구약의 의식율법 폐지함. 성경이 폐지한 율법을 다시 세우는 것은 무서운 죄악입니다. 그러므로 기독교인들은 기독교 헌금을 중단하고 국경없는의사회 등에 후원하는 것이 하나님의 뜻이라 믿습니다. (책 기독교의 하나님성경의 하나님 제7장)", 3
선생님 저 민성이에요 갈때마다 주사 안아프게 놔주라고 간호사 선생님한테 이야기 해주셔서 감사합니다 다음 달에 또 갈게요, 1
교수님 오늘 아이 진료보러 뵙고 왔는데 너무나 자세히 차분히 설명해주셔서 참 감사했습니다 아이입장에서 말씀해주시는 의사선생님을 오랜만에 뵙게되니 부모로서 울림이 있었습니다 다음주에 또 검사하러 가는데 좋은결과 있으면 좋겠습니다 다음주에 뵐게요^^, 0
"돈이 원래대로 제자리로 돌아갔으면 좋겠고, 의료비 지원이 잘 되었으면 좋게습니다", 1
"국경 없는 의사회라니까 뭔가 멋있어 보이네요. 정의구현사제단처럼.. 이왕이면 국경 안 의사회도 좀 만들어서 활동해 주세요. 국내에도 의료 혜택 못 누리는 사람들 무지 많아요. 아, 폼은 안 나겠죠. 우물 안 의사회로 비쳐지겠죠.ㅎㅎ", 3
"너무 귀중한 일을 하시는 교수님, 대단하시고, 존경합니다. 한가지 수정해주셨으면 하는 내용이 있어서 댓글 남깁니다. 소아당뇨는 잘못된 표현으로 1형 당뇨라고 수정부탁드립니다. 1형당뇨는 전연령층에서 발생하는 질병이고, 잘못된 질병명으로 인해 오해와 편견이 생길 수 있습니다. 꼭 1형당뇨로 수정 부탁드려요!", 1
정식 병명은 1형 당뇨입니다. 소아 당뇨라는 질환명은 없어요. 아직도 이렇게 사용되다니 수정 부탁드립니다. 아이들이 덜 고통스럽고 제대로 진료 받기를 기도할게요, 1
그냥 한국에 계세요.. 우리나라 의사들 다 파업해서 한국 상황도 별반 다르지 않아질겁니다., 3
한국은 사직하여 쉽게 환자를 방치하는데 어느나라인지는 모르겠지만 부럽네요, 3
좋은 말이지. 근데 그 눈은 왜 국내에선 안보이다가 꼭 외국에만 나가야 그리 잘 보이노., 3
어이 보새요 외국에서 미친 짖거리 하지말고 대한민국 방방 곡곡 치료못하고 돈이 없어서 못하는가정이나 돌보새요 미친 짖거리 고만하시고 국내환자부터 치료해주새요, 3
이상한 댓글 다시는 분들 많네 우리나라가 분쟁지역인가요? 국경없는 의사회 활동 목적은 국가의료체계가 붕괴된 분쟁지역에 의료 봉사를 위해 활동하는 단체입니다. 우리나라 의료낙후문제나 의료 사각지대문제는 우리나라 정부에게 요구해야죠 왜 의사들에게 희생을 강요합니까?, 3
얼마나 광고돌렸으면 조회수가 3828만이냐 ㅋㅋ 에휴 스캠냄새 풀풀, 3
광고비가 남아도는지 유튜브 광고량중 최상위 광고숫자 같습니다 광고가 많아도 너무 많아서 어떨때는 장사속 같은것 같은 느낌이 옴니다, 3
ㅋㅋ 대한민국에서는 제대로된 치료를 받고 있는 사람들이 얼마나 있읍니까? ㅋㅋ ㅋㅋ 제발 본인들 스펙을 때문에 지랄들 하지 마십다, 3
"우리나라 상황을 단신이 그리 잘알아..? 도서 벽지에 가봐, 재수없으면 기냥죽어.. 말도 안되는 엉터리 논리.. 우리나라가 의료복지가 좋다..? 니나라 죽어가는 사람도 모르는 주제에 ..?", 3
머리색이 왜 보라인가?, 2
쫌 광고하지마라, 3
그만해~미국땅에서 깜디들에게 그렇게 얻어 터지는걸 보면서 배알이도 없이 깜디를 도와주자고 자존심 상해서 도오주고 싶은 맘 없어. 그만하자 할 만큼 했다, 3
우리나라상황에 살릴수있는아이들이 소아과의사가없어서 구급차에서 죽어간다고 이개같은인간아 그걸지금말이라고 뻔히 한국상황을알면서 정말 개같은단체다 무엇을위한단체냐? 그기준이 흑인아이여야만하고 아프리까가지가서 돌아다닌 훈장이있어야 의사고 봉사냐, 3
볼 때마다 머리 염색 너무 궁금함. ㅋㅋ 왜 저런 머리 스타일을 하셨는지., 3
디지겟내 ㄷㄷ, 3
다들 국경없는 의사회 의 범죄 비리 행위를 검색해보십쇼 기가차서 말이 안나옵니다 더듬어만진당스럽네 이것들, 3
"저기요, 우리나라 사람도 아픈사람들 많아요, 그나라도 안탑깝지만 ..", 3
딴나라 살릴 시간에 우리나라 먼저 돌보는게 정상 아닌가, 3
렙틸리언백준호 접근비8000은 댓글은다렙틸리언들이다 절대속지마라 인류, 3
아니 우째 국경없는 의사회 광고에 나오는 병신들마다 관상이 험하게 생겻누~ 이렇게 관싱이 험한 사람이 나오면 사람들이 후원하고 싶겠냐?, 3
우리나라 도서지방등.. 의료진과 동 떨어져 급한 상황에 어쩔수 없이 희생되는 경우를 몰라요..? 당신은 아프리카같은 곳만 기억하나요..?/ 정신나간..?, 3
제발 국내 ?, 2
우리민족 한반도 북한은 그 나라보다 더 열악한 환경입니다 국경없는 의사회는 북한도 짅료를 해주라 같은 언어를 쓰는데 좋은 일 하는 척 하지 말라 진정 애국자라면, 3
항상 감사하며. 존경합니다, 1
카리나씨가..진정우리나라 홍보대사시네요.., 1
저희아이 태어난지 50일도 안되었을때.. 뇌염에 걸려서 창원경상대 병원에 입원했었을때.. 보라색 머리가 인상적이셔서 기억에 남는데..그때도 어디어디 출장다니시느라 바쁘신 와중에..정말 신경많이 써주셨던 기억이 나네요.. 이런 좋은 활동도 하시고 유튭보다가..우연히 이곳까지와서 댓글 남깁니다. 늘 건강하세요 신경수교수님~, 1
감동적이네요!, 1
안녕하세요? 제가 학교 진로 과제로 롤모델 인터뷰 과제가 있는데 질문 몇가지 드리겠습니다) 1.혹시 국경 없는 의사회 활동 계기가 무엇인가요? 2.의사 중에서 소아과를 선택한 이유가 있으신가요? 3.활동 하면서 뿌듯 했던 때가 언제이신가요? 4.가치관이나 삶을 살아가는데 모토로 삶는 것들은 무엇인가요? 5.의사가 되기 위해서 어떤 노력들을 하셨나요? 6.활동하면서 힘들때 어떻게 이겨내셨나요? 참고로 저는 용정중학교 학생입니다. 답변 기다리겠습니다!ㅎㅎ, 1
